,tokens,intent,intents_nums,BIO,BIO_nums,tokens_list,translated,comments,translation,proj,source_dict,source_dict_light,transfer_dict,transfer_dict_light,BIO_list_trans,BIO_nums_list_trans
17,i got to find a cheap restaurant that serves mexican food,inform_food__inform_pricerange,10,"['O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 3, 1]","['i', 'got', 'to', 'find', 'a', 'cheap', 'restaurant', 'that', 'serves', 'mexican', 'food']","{'text': 'Ich musste ein billiges Restaurant finden, das mexikanisches Essen serviert', 'to': 'de', 'alignment': {'proj': '0:0-0:2 2:4-4:9 14:14-11:13 16:20-15:22 22:31-24:33 33:36-35:41 33:36-43:45 38:43-67:74 45:51-47:59 53:56-61:65'}}",1,"Ich musste ein billiges Restaurant finden, das mexikanisches Essen serviert",0:0-0:2 2:4-4:9 14:14-11:13 16:20-15:22 22:31-24:33 33:36-35:41 33:36-43:45 38:43-67:74 45:51-47:59 53:56-61:65,"{'0:0': ['i', 'O', 1], '2:4': ['got', 'O', 1], '6:7': ['to', 'O', 1], '9:12': ['find', 'O', 1], '14:14': ['a', 'O', 1], '16:20': ['cheap', 'B-pricerange', 0], '22:31': ['restaurant', 'O', 1], '33:36': ['that', 'O', 1], '38:43': ['serves', 'O', 1], '45:51': ['mexican', 'B-food', 3], '53:56': ['food', 'O', 1]}","{0: ['i', 'O', 1], 2: ['got', 'O', 1], 6: ['to', 'O', 1], 9: ['find', 'O', 1], 14: ['a', 'O', 1], 16: ['cheap', 'B-pricerange', 0], 22: ['restaurant', 'O', 1], 33: ['that', 'O', 1], 38: ['serves', 'O', 1], 45: ['mexican', 'B-food', 3], 53: ['food', 'O', 1]}","{'0:2': '0:0', '4:9': '2:4', '11:13': '14:14', '15:22': '16:20', '24:33': '22:31', '35:41': '33:36', '43:45': '33:36', '67:74': '38:43', '47:59': '45:51', '61:65': '53:56'}","{0: 0, 4: 2, 11: 14, 15: 16, 24: 22, 35: 33, 43: 33, 67: 38, 47: 45, 61: 53}","['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 0, 1, 1, 1, 3, 1, 1]"
18,is it in the cheap price range,confirm_pricerange,11,"['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O']","[1, 1, 1, 1, 0, 1, 1]","['is', 'it', 'in', 'the', 'cheap', 'price', 'range']","{'text': 'ist es in der billigen Preisklasse', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:4-4:5 6:7-7:8 9:11-10:12 13:17-14:21 25:29-23:33'}}",1,ist es in der billigen Preisklasse,0:1-0:2 3:4-4:5 6:7-7:8 9:11-10:12 13:17-14:21 25:29-23:33,"{'0:1': ['is', 'O', 1], '3:4': ['it', 'O', 1], '6:7': ['in', 'O', 1], '9:11': ['the', 'O', 1], '13:17': ['cheap', 'B-pricerange', 0], '19:23': ['price', 'O', 1], '25:29': ['range', 'O', 1]}","{0: ['is', 'O', 1], 3: ['it', 'O', 1], 6: ['in', 'O', 1], 9: ['the', 'O', 1], 13: ['cheap', 'B-pricerange', 0], 19: ['price', 'O', 1], 25: ['range', 'O', 1]}","{'0:2': '0:1', '4:5': '3:4', '7:8': '6:7', '10:12': '9:11', '14:21': '13:17', '23:33': '25:29'}","{0: 0, 4: 3, 7: 6, 10: 9, 14: 13, 23: 25}","['O', 'O', 'O', 'O', 'B-pricerange', 'O']","[1, 1, 1, 1, 0, 1]"
19,is there a cheap restaurant that serves vietnamese food,confirm_food__confirm_pricerange,12,"['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 0, 1, 1, 1, 3, 1]","['is', 'there', 'a', 'cheap', 'restaurant', 'that', 'serves', 'vietnamese', 'food']","{'text': 'Gibt es ein billiges Restaurant, das vietnamesisches Essen serviert', 'to': 'de', 'alignment': {'proj': '3:7-0:3 3:7-5:6 9:9-8:10 11:15-12:19 17:26-21:31 28:31-33:35 33:38-59:66 40:49-37:51 51:54-53:57'}}",1,"Gibt es ein billiges Restaurant, das vietnamesisches Essen serviert",3:7-0:3 3:7-5:6 9:9-8:10 11:15-12:19 17:26-21:31 28:31-33:35 33:38-59:66 40:49-37:51 51:54-53:57,"{'0:1': ['is', 'O', 1], '3:7': ['there', 'O', 1], '9:9': ['a', 'O', 1], '11:15': ['cheap', 'B-pricerange', 0], '17:26': ['restaurant', 'O', 1], '28:31': ['that', 'O', 1], '33:38': ['serves', 'O', 1], '40:49': ['vietnamese', 'B-food', 3], '51:54': ['food', 'O', 1]}","{0: ['is', 'O', 1], 3: ['there', 'O', 1], 9: ['a', 'O', 1], 11: ['cheap', 'B-pricerange', 0], 17: ['restaurant', 'O', 1], 28: ['that', 'O', 1], 33: ['serves', 'O', 1], 40: ['vietnamese', 'B-food', 3], 51: ['food', 'O', 1]}","{'0:3': '3:7', '5:6': '3:7', '8:10': '9:9', '12:19': '11:15', '21:31': '17:26', '33:35': '28:31', '59:66': '33:38', '37:51': '40:49', '53:57': '51:54'}","{0: 3, 5: 3, 8: 9, 12: 11, 21: 17, 33: 28, 59: 33, 37: 40, 53: 51}","['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 0, 1, 1, 3, 1, 1]"
20,can i please have their phone number,request_phone,4,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]","['can', 'i', 'please', 'have', 'their', 'phone', 'number']","{'text': 'Kann ich bitte ihre Telefonnummer haben', 'to': 'de', 'alignment': {'proj': '0:2-0:3 4:4-5:7 6:11-9:13 13:16-34:38 18:22-15:18 30:35-20:32'}}",1,Kann ich bitte ihre Telefonnummer haben,0:2-0:3 4:4-5:7 6:11-9:13 13:16-34:38 18:22-15:18 30:35-20:32,"{'0:2': ['can', 'O', 1], '4:4': ['i', 'O', 1], '6:11': ['please', 'O', 1], '13:16': ['have', 'O', 1], '18:22': ['their', 'O', 1], '24:28': ['phone', 'O', 1], '30:35': ['number', 'O', 1]}","{0: ['can', 'O', 1], 4: ['i', 'O', 1], 6: ['please', 'O', 1], 13: ['have', 'O', 1], 18: ['their', 'O', 1], 24: ['phone', 'O', 1], 30: ['number', 'O', 1]}","{'0:3': '0:2', '5:7': '4:4', '9:13': '6:11', '34:38': '13:16', '15:18': '18:22', '20:32': '30:35'}","{0: 0, 5: 4, 9: 6, 34: 13, 15: 18, 20: 30}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
21,no thank you good bye,bye__negate,13,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['no', 'thank', 'you', 'good', 'bye']","{'text': 'nein danke aufs Neue', 'to': 'de', 'alignment': {'proj': '0:1-0:3 3:7-5:9 13:16-11:14 18:20-16:19'}}",1,nein danke aufs Neue,0:1-0:3 3:7-5:9 13:16-11:14 18:20-16:19,"{'0:1': ['no', 'O', 1], '3:7': ['thank', 'O', 1], '9:11': ['you', 'O', 1], '13:16': ['good', 'O', 1], '18:20': ['bye', 'O', 1]}","{0: ['no', 'O', 1], 3: ['thank', 'O', 1], 9: ['you', 'O', 1], 13: ['good', 'O', 1], 18: ['bye', 'O', 1]}","{'0:3': '0:1', '5:9': '3:7', '11:14': '13:16', '16:19': '18:20'}","{0: 0, 5: 3, 11: 13, 16: 18}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
22,i am looking for an expensive restaurant that serves australian food,inform_food__inform_pricerange,10,"['O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 3, 1]","['i', 'am', 'looking', 'for', 'an', 'expensive', 'restaurant', 'that', 'serves', 'australian', 'food']","{'text': 'Ich bin auf der Suche nach einem teuren Restaurant, das australisches Essen serviert', 'to': 'de', 'alignment': {'proj': '0:0-0:2 2:3-4:6 5:11-8:10 5:11-12:14 5:11-22:25 13:15-16:20 17:18-27:31 20:28-33:38 30:39-40:50 41:44-52:54 46:51-76:83 53:62-56:68 64:67-70:74'}}",1,"Ich bin auf der Suche nach einem teuren Restaurant, das australisches Essen serviert",0:0-0:2 2:3-4:6 5:11-8:10 5:11-12:14 5:11-22:25 13:15-16:20 17:18-27:31 20:28-33:38 30:39-40:50 41:44-52:54 46:51-76:83 53:62-56:68 64:67-70:74,"{'0:0': ['i', 'O', 1], '2:3': ['am', 'O', 1], '5:11': ['looking', 'O', 1], '13:15': ['for', 'O', 1], '17:18': ['an', 'O', 1], '20:28': ['expensive', 'B-pricerange', 0], '30:39': ['restaurant', 'O', 1], '41:44': ['that', 'O', 1], '46:51': ['serves', 'O', 1], '53:62': ['australian', 'B-food', 3], '64:67': ['food', 'O', 1]}","{0: ['i', 'O', 1], 2: ['am', 'O', 1], 5: ['looking', 'O', 1], 13: ['for', 'O', 1], 17: ['an', 'O', 1], 20: ['expensive', 'B-pricerange', 0], 30: ['restaurant', 'O', 1], 41: ['that', 'O', 1], 46: ['serves', 'O', 1], 53: ['australian', 'B-food', 3], 64: ['food', 'O', 1]}","{'0:2': '0:0', '4:6': '2:3', '8:10': '5:11', '12:14': '5:11', '22:25': '5:11', '16:20': '13:15', '27:31': '17:18', '33:38': '20:28', '40:50': '30:39', '52:54': '41:44', '76:83': '46:51', '56:68': '53:62', '70:74': '64:67'}","{0: 0, 4: 2, 8: 5, 12: 5, 22: 5, 16: 13, 27: 17, 33: 20, 40: 30, 52: 41, 76: 46, 56: 53, 70: 64}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 3, 1, 1]"
23,ye,affirm,14,['O'],[1],['ye'],"{'text': 'Ihr', 'to': 'de', 'alignment': {'proj': '0:1-0:2'}}",1,Ihr,0:1-0:2,"{'0:1': ['ye', 'O', 1]}","{0: ['ye', 'O', 1]}",{'0:2': '0:1'},{0: 0},['O'],[1]
24,how about asian oriental food,inform_food__reqalts,15,"['O', 'O', 'B-food', 'B-food', 'O']","[1, 1, 3, 3, 1]","['how', 'about', 'asian', 'oriental', 'food']","{'text': 'wie wäre es mit asiatischem orientalischem Essen', 'to': 'de', 'alignment': {'proj': '0:2-0:2 0:2-4:7 0:2-9:10 10:14-12:14 10:14-16:26 16:23-28:41 25:28-43:47'}}",1,wie wäre es mit asiatischem orientalischem Essen,0:2-0:2 0:2-4:7 0:2-9:10 10:14-12:14 10:14-16:26 16:23-28:41 25:28-43:47,"{'0:2': ['how', 'O', 1], '4:8': ['about', 'O', 1], '10:14': ['asian', 'B-food', 3], '16:23': ['oriental', 'B-food', 3], '25:28': ['food', 'O', 1]}","{0: ['how', 'O', 1], 4: ['about', 'O', 1], 10: ['asian', 'B-food', 3], 16: ['oriental', 'B-food', 3], 25: ['food', 'O', 1]}","{'0:2': '0:2', '4:7': '0:2', '9:10': '0:2', '12:14': '10:14', '16:26': '10:14', '28:41': '16:23', '43:47': '25:28'}","{0: 0, 4: 0, 9: 0, 12: 10, 16: 10, 28: 16, 43: 25}","['O', 'O', 'O', 'B-food', 'B-food', 'B-food', 'O']","[1, 1, 1, 3, 3, 3, 1]"
25,what is the area,request_area,16,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['what', 'is', 'the', 'area']","{'text': 'was ist die Gegend', 'to': 'de', 'alignment': {'proj': '0:3-0:2 5:6-4:6 8:10-8:10 12:15-12:17'}}",1,was ist die Gegend,0:3-0:2 5:6-4:6 8:10-8:10 12:15-12:17,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:15': ['area', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['area', 'O', 1]}","{'0:2': '0:3', '4:6': '5:6', '8:10': '8:10', '12:17': '12:15'}","{0: 0, 4: 5, 8: 8, 12: 12}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
26,what is the phone number a,request_phone,4,"['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['what', 'is', 'the', 'phone', 'number', 'a']","{'text': 'Wie lautet die Telefonnummer a', 'to': 'de', 'alignment': {'proj': '0:3-0:2 5:6-4:9 8:10-11:13 18:23-15:27 25:25-29:29'}}",1,Wie lautet die Telefonnummer a,0:3-0:2 5:6-4:9 8:10-11:13 18:23-15:27 25:25-29:29,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:16': ['phone', 'O', 1], '18:23': ['number', 'O', 1], '25:25': ['a', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['phone', 'O', 1], 18: ['number', 'O', 1], 25: ['a', 'O', 1]}","{'0:2': '0:3', '4:9': '5:6', '11:13': '8:10', '15:27': '18:23', '29:29': '25:25'}","{0: 0, 4: 5, 11: 8, 15: 18, 29: 25}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]"
27,what is the area of the venue,request_area,16,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]","['what', 'is', 'the', 'area', 'of', 'the', 'venue']","{'text': 'Was ist die Fläche des Veranstaltungsortes', 'to': 'de', 'alignment': {'proj': '0:3-0:2 5:6-4:6 8:10-8:10 12:15-12:17 17:18-19:21 24:28-23:41'}}",1,Was ist die Fläche des Veranstaltungsortes,0:3-0:2 5:6-4:6 8:10-8:10 12:15-12:17 17:18-19:21 24:28-23:41,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:15': ['area', 'O', 1], '17:18': ['of', 'O', 1], '20:22': ['the', 'O', 1], '24:28': ['venue', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['area', 'O', 1], 17: ['of', 'O', 1], 20: ['the', 'O', 1], 24: ['venue', 'O', 1]}","{'0:2': '0:3', '4:6': '5:6', '8:10': '8:10', '12:17': '12:15', '19:21': '17:18', '23:41': '24:28'}","{0: 0, 4: 5, 8: 8, 12: 12, 19: 17, 23: 24}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
28,thank you goodbye,bye__thankyou,5,"['O', 'O', 'O']","[1, 1, 1]","['thank', 'you', 'goodbye']","{'text': 'Danke auf Wiedersehen', 'to': 'de', 'alignment': {'proj': '6:8-0:4 10:16-6:8 10:16-10:20'}}",1,Danke auf Wiedersehen,6:8-0:4 10:16-6:8 10:16-10:20,"{'0:4': ['thank', 'O', 1], '6:8': ['you', 'O', 1], '10:16': ['goodbye', 'O', 1]}","{0: ['thank', 'O', 1], 6: ['you', 'O', 1], 10: ['goodbye', 'O', 1]}","{'0:4': '6:8', '6:8': '10:16', '10:20': '10:16'}","{0: 6, 6: 10, 10: 10}","['O', 'O', 'O']","[1, 1, 1]"
