index,tokens,intent,intents_nums,BIO,BIO_nums,tokens_list,translated,comments,translation,proj,source_dict,source_dict_light,transfer_dict,transfer_dict_light,BIO_list_trans,BIO_nums_list_trans,BIO_list_trans_RU,BIO_nums_list_trans_RU
10,what is the phone number,request_phone,4,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['what', 'is', 'the', 'phone', 'number']","{'text': 'что такое номер телефона', 'to': 'ru', 'alignment': {'proj': '0:3-0:2 8:10-4:8 12:16-16:23 18:23-10:14'}}",1,что такое номер телефона,0:3-0:2 8:10-4:8 12:16-16:23 18:23-10:14,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:16': ['phone', 'O', 1], '18:23': ['number', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['phone', 'O', 1], 18: ['number', 'O', 1]}","{'0:2': '0:3', '4:8': '8:10', '16:23': '12:16', '10:14': '18:23'}","{0: 0, 4: 8, 16: 12, 10: 18}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
11,im looking for a cheap restaurant in the south part of town,inform_area__inform_pricerange,8,"['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1]","['im', 'looking', 'for', 'a', 'cheap', 'restaurant', 'in', 'the', 'south', 'part', 'of', 'town']","{'text': 'Я ищу дешевый ресторан в южной части города', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:4 15:15-6:12 23:32-14:21 34:35-23:23 41:45-25:29 47:50-31:35 55:58-37:42'}}",1,Я ищу дешевый ресторан в южной части города,0:1-0:0 3:9-2:4 15:15-6:12 23:32-14:21 34:35-23:23 41:45-25:29 47:50-31:35 55:58-37:42,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:21': ['cheap', 'B-pricerange', 0], '23:32': ['restaurant', 'O', 1], '34:35': ['in', 'O', 1], '37:39': ['the', 'O', 1], '41:45': ['south', 'B-area', 2], '47:50': ['part', 'O', 1], '52:53': ['of', 'O', 1], '55:58': ['town', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['cheap', 'B-pricerange', 0], 23: ['restaurant', 'O', 1], 34: ['in', 'O', 1], 37: ['the', 'O', 1], 41: ['south', 'B-area', 2], 47: ['part', 'O', 1], 52: ['of', 'O', 1], 55: ['town', 'O', 1]}","{'0:0': '0:1', '2:4': '3:9', '6:12': '15:15', '14:21': '23:32', '23:23': '34:35', '25:29': '41:45', '31:35': '47:50', '37:42': '55:58'}","{0: 0, 2: 3, 6: 15, 14: 23, 23: 34, 25: 41, 31: 47, 37: 55}","['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 0, 1, 1, 2, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1]"
12,i want a restaurant in the north part of town,inform_area,2,"['O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1]","['i', 'want', 'a', 'restaurant', 'in', 'the', 'north', 'part', 'of', 'town']","{'text': 'Я хочу ресторан в северной части города', 'to': 'ru', 'alignment': {'proj': '0:0-0:0 2:5-2:5 9:18-7:14 20:21-16:16 27:31-18:25 33:36-27:31 41:44-33:38'}}",1,Я хочу ресторан в северной части города,0:0-0:0 2:5-2:5 9:18-7:14 20:21-16:16 27:31-18:25 33:36-27:31 41:44-33:38,"{'0:0': ['i', 'O', 1], '2:5': ['want', 'O', 1], '7:7': ['a', 'O', 1], '9:18': ['restaurant', 'O', 1], '20:21': ['in', 'O', 1], '23:25': ['the', 'O', 1], '27:31': ['north', 'B-area', 2], '33:36': ['part', 'O', 1], '38:39': ['of', 'O', 1], '41:44': ['town', 'O', 1]}","{0: ['i', 'O', 1], 2: ['want', 'O', 1], 7: ['a', 'O', 1], 9: ['restaurant', 'O', 1], 20: ['in', 'O', 1], 23: ['the', 'O', 1], 27: ['north', 'B-area', 2], 33: ['part', 'O', 1], 38: ['of', 'O', 1], 41: ['town', 'O', 1]}","{'0:0': '0:0', '2:5': '2:5', '7:14': '9:18', '16:16': '20:21', '18:25': '27:31', '27:31': '33:36', '33:38': '41:44'}","{0: 0, 2: 2, 7: 9, 16: 20, 18: 27, 27: 33, 33: 41}","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1, 1]","['O', 'O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 2, 1, 1]"
13,i dont care,inform_this,1,"['O', 'B-this', 'I-this']","[1, 4, 5]","['i', 'dont', 'care']","{'text': 'Меня не волнует', 'to': 'ru', 'alignment': {'proj': '0:11-0:14'}}",0,Меня не волнует,0:11-0:14,"{'0:0': ['i', 'O', 1], '2:5': ['dont', 'B-this', 4], '7:10': ['care', 'I-this', 5]}","{0: ['i', 'O', 1], 2: ['dont', 'B-this', 4], 7: ['care', 'I-this', 5]}",{'0:14': '0:11'},{0: 0},"['B-this', 'I-this', 'I-this']",['O'],"['O', -100, -100]","[1, -100, -100]"
14,lebanese food,inform_food,6,"['B-food', 'O']","[3, 1]","['lebanese', 'food']","{'text': 'ливанская кухня', 'to': 'ru', 'alignment': {'proj': '0:7-0:8 9:12-10:14'}}",1,ливанская кухня,0:7-0:8 9:12-10:14,"{'0:7': ['lebanese', 'B-food', 3], '9:12': ['food', 'O', 1]}","{0: ['lebanese', 'B-food', 3], 9: ['food', 'O', 1]}","{'0:8': '0:7', '10:14': '9:12'}","{0: 0, 10: 9}","['B-food', 'O']","[3, 1]","['B-food', 'O']","[3, 1]"
15,italian food,inform_food,6,"['B-food', 'O']","[3, 1]","['italian', 'food']","{'text': 'итальянская кухня', 'to': 'ru', 'alignment': {'proj': '0:6-0:10 8:11-12:16'}}",1,итальянская кухня,0:6-0:10 8:11-12:16,"{'0:6': ['italian', 'B-food', 3], '8:11': ['food', 'O', 1]}","{0: ['italian', 'B-food', 3], 8: ['food', 'O', 1]}","{'0:10': '0:6', '12:16': '8:11'}","{0: 0, 12: 8}","['B-food', 'O']","[3, 1]","['B-food', 'O']","[3, 1]"
16,what is the address and phone number,request_addr__request_phone,9,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]","['what', 'is', 'the', 'address', 'and', 'phone', 'number']","{'text': 'что такое адрес и номер телефона', 'to': 'ru', 'alignment': {'proj': '0:3-0:2 8:10-4:8 12:18-10:14 20:22-16:16 24:28-24:31 30:35-18:22'}}",1,что такое адрес и номер телефона,0:3-0:2 8:10-4:8 12:18-10:14 20:22-16:16 24:28-24:31 30:35-18:22,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:18': ['address', 'O', 1], '20:22': ['and', 'O', 1], '24:28': ['phone', 'O', 1], '30:35': ['number', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['address', 'O', 1], 20: ['and', 'O', 1], 24: ['phone', 'O', 1], 30: ['number', 'O', 1]}","{'0:2': '0:3', '4:8': '8:10', '10:14': '12:18', '16:16': '20:22', '24:31': '24:28', '18:22': '30:35'}","{0: 0, 4: 8, 10: 12, 16: 20, 24: 24, 18: 30}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
17,i got to find a cheap restaurant that serves mexican food,inform_food__inform_pricerange,10,"['O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 3, 1]","['i', 'got', 'to', 'find', 'a', 'cheap', 'restaurant', 'that', 'serves', 'mexican', 'food']","{'text': 'Я нашел дешевый ресторан, в который подают мексиканскую еду', 'to': 'ru', 'alignment': {'proj': '0:0-0:0 2:4-2:6 14:14-8:14 22:31-16:24 33:36-26:26 38:43-36:41 45:51-43:54 53:56-56:58'}}",1,"Я нашел дешевый ресторан, в который подают мексиканскую еду",0:0-0:0 2:4-2:6 14:14-8:14 22:31-16:24 33:36-26:26 38:43-36:41 45:51-43:54 53:56-56:58,"{'0:0': ['i', 'O', 1], '2:4': ['got', 'O', 1], '6:7': ['to', 'O', 1], '9:12': ['find', 'O', 1], '14:14': ['a', 'O', 1], '16:20': ['cheap', 'B-pricerange', 0], '22:31': ['restaurant', 'O', 1], '33:36': ['that', 'O', 1], '38:43': ['serves', 'O', 1], '45:51': ['mexican', 'B-food', 3], '53:56': ['food', 'O', 1]}","{0: ['i', 'O', 1], 2: ['got', 'O', 1], 6: ['to', 'O', 1], 9: ['find', 'O', 1], 14: ['a', 'O', 1], 16: ['cheap', 'B-pricerange', 0], 22: ['restaurant', 'O', 1], 33: ['that', 'O', 1], 38: ['serves', 'O', 1], 45: ['mexican', 'B-food', 3], 53: ['food', 'O', 1]}","{'0:0': '0:0', '2:6': '2:4', '8:14': '14:14', '16:24': '22:31', '26:26': '33:36', '36:41': '38:43', '43:54': '45:51', '56:58': '53:56'}","{0: 0, 2: 2, 8: 14, 16: 22, 26: 33, 36: 38, 43: 45, 56: 53}","['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 0, 1, 1, 1, 3, 1, 1]","['O', 'O', 'O', 'O', 'O', -100, 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, -100, 1, 3, 1]"
18,is it in the cheap price range,confirm_pricerange,11,"['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O']","[1, 1, 1, 1, 0, 1, 1]","['is', 'it', 'in', 'the', 'cheap', 'price', 'range']","{'text': 'находится ли он в дешевом ценовом диапазоне', 'to': 'ru', 'alignment': {'proj': '0:1-0:8 3:4-13:14 6:7-10:11 6:7-16:16 13:17-18:24 19:23-26:32 25:29-34:42'}}",1,находится ли он в дешевом ценовом диапазоне,0:1-0:8 3:4-13:14 6:7-10:11 6:7-16:16 13:17-18:24 19:23-26:32 25:29-34:42,"{'0:1': ['is', 'O', 1], '3:4': ['it', 'O', 1], '6:7': ['in', 'O', 1], '9:11': ['the', 'O', 1], '13:17': ['cheap', 'B-pricerange', 0], '19:23': ['price', 'O', 1], '25:29': ['range', 'O', 1]}","{0: ['is', 'O', 1], 3: ['it', 'O', 1], 6: ['in', 'O', 1], 9: ['the', 'O', 1], 13: ['cheap', 'B-pricerange', 0], 19: ['price', 'O', 1], 25: ['range', 'O', 1]}","{'0:8': '0:1', '13:14': '3:4', '10:11': '6:7', '16:16': '6:7', '18:24': '13:17', '26:32': '19:23', '34:42': '25:29'}","{0: 0, 13: 3, 10: 6, 16: 6, 18: 13, 26: 19, 34: 25}","['O', 'O', 'O', 'O', 'B-pricerange', 'O']","[1, 1, 1, 1, 0, 1]","['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O']","[1, 1, 1, 1, 0, 1, 1]"
19,is there a cheap restaurant that serves vietnamese food,confirm_food__confirm_pricerange,12,"['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 0, 1, 1, 1, 3, 1]","['is', 'there', 'a', 'cheap', 'restaurant', 'that', 'serves', 'vietnamese', 'food']","{'text': 'есть дешевый ресторан, где подают блюда вьетнамской кухни', 'to': 'ru', 'alignment': {'proj': '3:7-0:3 9:9-5:11 17:26-13:21 28:31-23:25 33:38-27:32 40:49-34:38 40:49-40:50 51:54-52:56'}}",1,"есть дешевый ресторан, где подают блюда вьетнамской кухни",3:7-0:3 9:9-5:11 17:26-13:21 28:31-23:25 33:38-27:32 40:49-34:38 40:49-40:50 51:54-52:56,"{'0:1': ['is', 'O', 1], '3:7': ['there', 'O', 1], '9:9': ['a', 'O', 1], '11:15': ['cheap', 'B-pricerange', 0], '17:26': ['restaurant', 'O', 1], '28:31': ['that', 'O', 1], '33:38': ['serves', 'O', 1], '40:49': ['vietnamese', 'B-food', 3], '51:54': ['food', 'O', 1]}","{0: ['is', 'O', 1], 3: ['there', 'O', 1], 9: ['a', 'O', 1], 11: ['cheap', 'B-pricerange', 0], 17: ['restaurant', 'O', 1], 28: ['that', 'O', 1], 33: ['serves', 'O', 1], 40: ['vietnamese', 'B-food', 3], 51: ['food', 'O', 1]}","{'0:3': '3:7', '5:11': '9:9', '13:21': '17:26', '23:25': '28:31', '27:32': '33:38', '34:38': '40:49', '40:50': '40:49', '52:56': '51:54'}","{0: 3, 5: 9, 13: 17, 23: 28, 27: 33, 34: 40, 40: 40, 52: 51}","['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 0, 1, 1, 3, 1, 1]","['O', 'O', 'O', 'O', 'O', 'B-food', 'B-food', 'O']","[1, 1, 1, 1, 1, 3, 3, 1]"
20,can i please have their phone number,request_phone,4,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]","['can', 'i', 'please', 'have', 'their', 'phone', 'number']","{'text': 'Могу ли я, пожалуйста, иметь свой номер телефона', 'to': 'ru', 'alignment': {'proj': '0:2-0:3 0:2-5:6 4:4-8:9 6:11-11:21 13:16-23:27 18:22-29:32 24:28-40:47 30:35-34:38'}}",1,"Могу ли я, пожалуйста, иметь свой номер телефона",0:2-0:3 0:2-5:6 4:4-8:9 6:11-11:21 13:16-23:27 18:22-29:32 24:28-40:47 30:35-34:38,"{'0:2': ['can', 'O', 1], '4:4': ['i', 'O', 1], '6:11': ['please', 'O', 1], '13:16': ['have', 'O', 1], '18:22': ['their', 'O', 1], '24:28': ['phone', 'O', 1], '30:35': ['number', 'O', 1]}","{0: ['can', 'O', 1], 4: ['i', 'O', 1], 6: ['please', 'O', 1], 13: ['have', 'O', 1], 18: ['their', 'O', 1], 24: ['phone', 'O', 1], 30: ['number', 'O', 1]}","{'0:3': '0:2', '5:6': '0:2', '8:9': '4:4', '11:21': '6:11', '23:27': '13:16', '29:32': '18:22', '40:47': '24:28', '34:38': '30:35'}","{0: 0, 5: 0, 8: 4, 11: 6, 23: 13, 29: 18, 40: 24, 34: 30}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1]"
21,no thank you good bye,bye__negate,13,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['no', 'thank', 'you', 'good', 'bye']","{'text': 'нет, спасибо до свидания', 'to': 'ru', 'alignment': {'proj': '0:1-0:3 3:7-5:11 18:20-13:14 18:20-16:23'}}",1,"нет, спасибо до свидания",0:1-0:3 3:7-5:11 18:20-13:14 18:20-16:23,"{'0:1': ['no', 'O', 1], '3:7': ['thank', 'O', 1], '9:11': ['you', 'O', 1], '13:16': ['good', 'O', 1], '18:20': ['bye', 'O', 1]}","{0: ['no', 'O', 1], 3: ['thank', 'O', 1], 9: ['you', 'O', 1], 13: ['good', 'O', 1], 18: ['bye', 'O', 1]}","{'0:3': '0:1', '5:11': '3:7', '13:14': '18:20', '16:23': '18:20'}","{0: 0, 5: 3, 13: 18, 16: 18}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
22,i am looking for an expensive restaurant that serves australian food,inform_food__inform_pricerange,10,"['O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 3, 1]","['i', 'am', 'looking', 'for', 'an', 'expensive', 'restaurant', 'that', 'serves', 'australian', 'food']","{'text': 'Я ищу дорогой ресторан, в который подают блюда австралийской кухни', 'to': 'ru', 'alignment': {'proj': '0:0-0:0 2:3-2:4 17:18-6:12 30:39-14:22 41:44-24:24 46:51-34:39 53:62-41:45 53:62-47:59 64:67-61:65'}}",1,"Я ищу дорогой ресторан, в который подают блюда австралийской кухни",0:0-0:0 2:3-2:4 17:18-6:12 30:39-14:22 41:44-24:24 46:51-34:39 53:62-41:45 53:62-47:59 64:67-61:65,"{'0:0': ['i', 'O', 1], '2:3': ['am', 'O', 1], '5:11': ['looking', 'O', 1], '13:15': ['for', 'O', 1], '17:18': ['an', 'O', 1], '20:28': ['expensive', 'B-pricerange', 0], '30:39': ['restaurant', 'O', 1], '41:44': ['that', 'O', 1], '46:51': ['serves', 'O', 1], '53:62': ['australian', 'B-food', 3], '64:67': ['food', 'O', 1]}","{0: ['i', 'O', 1], 2: ['am', 'O', 1], 5: ['looking', 'O', 1], 13: ['for', 'O', 1], 17: ['an', 'O', 1], 20: ['expensive', 'B-pricerange', 0], 30: ['restaurant', 'O', 1], 41: ['that', 'O', 1], 46: ['serves', 'O', 1], 53: ['australian', 'B-food', 3], 64: ['food', 'O', 1]}","{'0:0': '0:0', '2:4': '2:3', '6:12': '17:18', '14:22': '30:39', '24:24': '41:44', '34:39': '46:51', '41:45': '53:62', '47:59': '53:62', '61:65': '64:67'}","{0: 0, 2: 2, 6: 17, 14: 30, 24: 41, 34: 46, 41: 53, 47: 53, 61: 64}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 3, 1, 1]","['O', 'O', 'O', 'O', 'O', -100, 'O', 'B-food', 'B-food', 'O']","[1, 1, 1, 1, 1, -100, 1, 3, 3, 1]"
23,ye,affirm,14,['O'],[1],['ye'],"{'text': 'вы', 'to': 'ru', 'alignment': {'proj': '0:1-0:1'}}",1,вы,0:1-0:1,"{'0:1': ['ye', 'O', 1]}","{0: ['ye', 'O', 1]}",{'0:1': '0:1'},{0: 0},['O'],[1],['O'],[1]
24,how about asian oriental food,inform_food__reqalts,15,"['O', 'O', 'B-food', 'B-food', 'O']","[1, 1, 3, 3, 1]","['how', 'about', 'asian', 'oriental', 'food']","{'text': 'как насчет азиатской восточной кухни', 'to': 'ru', 'alignment': {'proj': '0:2-0:2 4:8-4:9 10:14-11:19 16:23-21:29 25:28-31:35'}}",1,как насчет азиатской восточной кухни,0:2-0:2 4:8-4:9 10:14-11:19 16:23-21:29 25:28-31:35,"{'0:2': ['how', 'O', 1], '4:8': ['about', 'O', 1], '10:14': ['asian', 'B-food', 3], '16:23': ['oriental', 'B-food', 3], '25:28': ['food', 'O', 1]}","{0: ['how', 'O', 1], 4: ['about', 'O', 1], 10: ['asian', 'B-food', 3], 16: ['oriental', 'B-food', 3], 25: ['food', 'O', 1]}","{'0:2': '0:2', '4:9': '4:8', '11:19': '10:14', '21:29': '16:23', '31:35': '25:28'}","{0: 0, 4: 4, 11: 10, 21: 16, 31: 25}","['O', 'O', 'O', 'B-food', 'B-food', 'B-food', 'O']","[1, 1, 1, 3, 3, 3, 1]","['O', 'O', 'B-food', 'B-food', 'O']","[1, 1, 3, 3, 1]"
25,what is the area,request_area,16,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['what', 'is', 'the', 'area']","{'text': 'что такое район', 'to': 'ru', 'alignment': {'proj': '0:3-0:2 8:10-4:8 12:15-10:14'}}",1,что такое район,0:3-0:2 8:10-4:8 12:15-10:14,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:15': ['area', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['area', 'O', 1]}","{'0:2': '0:3', '4:8': '8:10', '10:14': '12:15'}","{0: 0, 4: 8, 10: 12}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['O', 'O', 'O']","[1, 1, 1]"
26,what is the phone number a,request_phone,4,"['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['what', 'is', 'the', 'phone', 'number', 'a']","{'text': 'Что такое номер телефона a', 'to': 'ru', 'alignment': {'proj': '0:3-0:2 8:10-4:8 12:16-16:23 18:23-10:14 25:25-25:25'}}",1,Что такое номер телефона a,0:3-0:2 8:10-4:8 12:16-16:23 18:23-10:14 25:25-25:25,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:16': ['phone', 'O', 1], '18:23': ['number', 'O', 1], '25:25': ['a', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['phone', 'O', 1], 18: ['number', 'O', 1], 25: ['a', 'O', 1]}","{'0:2': '0:3', '4:8': '8:10', '16:23': '12:16', '10:14': '18:23', '25:25': '25:25'}","{0: 0, 4: 8, 16: 12, 10: 18, 25: 25}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]"
27,what is the area of the venue,request_area,16,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]","['what', 'is', 'the', 'area', 'of', 'the', 'venue']","{'text': 'какова площадь площадки', 'to': 'ru', 'alignment': {'proj': '0:3-0:5 12:15-7:13 24:28-15:22'}}",1,какова площадь площадки,0:3-0:5 12:15-7:13 24:28-15:22,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:15': ['area', 'O', 1], '17:18': ['of', 'O', 1], '20:22': ['the', 'O', 1], '24:28': ['venue', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['area', 'O', 1], 17: ['of', 'O', 1], 20: ['the', 'O', 1], 24: ['venue', 'O', 1]}","{'0:5': '0:3', '7:13': '12:15', '15:22': '24:28'}","{0: 0, 7: 12, 15: 24}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['O', 'O', 'O']","[1, 1, 1]"
